BackendId,Version,N,Precision,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Trial
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00585504,45846.9,1,1,1
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00828032,32418.5,0.688669,1,1
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123251,21779.5,0.478165,1,1
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123021,21820.3,0.466133,1,1
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0103018,26057.2,0.552915,1,1
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102787,26115.7,0.555711,1,1
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102826,26105.9,0.55096,1,1
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00702144,38230.8,1,1,2
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00826144,32492.6,0.690127,1,2
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123053,21814.7,0.465231,1,2
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.012329,21772.8,0.459744,1,2
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.010271,26135.2,0.555909,1,2
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102742,26127,0.561311,1,2
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102787,26115.7,0.553594,1,2
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00587456,45694.6,1,1,3
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00828,32419.7,0.694995,1,3
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123194,21789.7,0.480415,1,3
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123261,21777.8,0.463953,1,3
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0102816,26108.3,0.576471,1,3
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102758,26123,0.630107,1,3
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102733,26129.5,0.561052,1,3
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00572928,46853.3,1,1,4
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0082608,32495.1,0.690141,1,4
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123264,21777.3,0.466848,1,4
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123267,21776.7,0.469328,1,4
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0102736,26128.7,0.557234,1,4
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102621,26158,0.55206,1,4
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102736,26128.7,0.551534,1,4
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.0058528,45864.5,1,1,5
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00825376,32522.8,0.693018,1,5
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123213,21786.3,0.464108,1,5
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123258,21778.4,0.461343,1,5
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0102947,26075.1,0.569022,1,5
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102835,26103.5,0.573873,1,5
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102758,26123,0.573244,1,5
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.0057328,46824.5,1,1,6
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00829984,32342.2,0.688746,1,6
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123197,21789.2,0.46009,1,6
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123286,21773.3,0.45716,1,6
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0102979,26067,0.560051,1,6
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102938,26077.5,0.553594,1,6
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102746,26126.2,0.55114,1,6
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00572288,46905.7,1,1,7
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00826176,32491.3,0.685336,1,7
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123165,21794.8,0.472395,1,7
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123062,21813,0.467431,1,7
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.01028,26112.4,0.554335,1,7
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102768,26120.5,0.551175,1,7
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102797,26113.2,0.54906,1,7
