BackendId,Version,N,Precision,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Trial
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00826208,4061.26,0.676556,1,2
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00553696,6060.08,1,1,3
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00815616,4114,0.686755,1,3
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0144064,2329.13,0.427477,1,3
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00823552,4074.36,0.677611,1,3
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.0082176,4083.24,0.671924,1,3
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.0082752,4054.82,0.676643,1,3
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822368,4080.22,0.674229,1,3
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824128,4071.51,0.674497,1,3
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00553248,6064.99,1,1,4
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823168,4076.26,0.685624,1,4
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0144294,2325.41,0.446731,1,4
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821984,4082.13,0.696033,1,4
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821216,4085.94,0.694658,1,4
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00822336,4080.38,0.679041,1,4
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822688,4078.63,0.705901,1,4
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823904,4072.61,0.689129,1,4
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00565984,5928.51,1,1,5
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00813632,4124.03,0.682412,1,5
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0143923,2331.41,0.387562,1,5
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.008224,4080.06,0.688444,1,5
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821568,4084.19,0.671964,1,5
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.0082208,4081.65,0.686181,1,5
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00828,4052.47,0.686802,1,5
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00830752,4039.04,0.676091,1,5
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00568032,5907.14,1,1,6
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823904,4072.61,0.676506,1,6
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0143978,2330.53,0.392772,1,6
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821472,4084.67,0.681041,1,6
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.008232,4076.1,0.690534,1,6
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00825824,4063.15,0.683225,1,6
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.008256,4064.25,0.696938,1,6
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823264,4075.78,0.680414,1,6
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00561728,5973.43,1,1,7
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823904,4072.61,0.713481,1,7
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0143888,2331.98,0.389058,1,7
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822144,4081.33,0.680367,1,7
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822144,4081.33,0.699634,1,7
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00832768,4029.26,0.67284,1,7
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00828192,4051.53,0.682277,1,7
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00826336,4060.63,0.714015,1,7
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00559488,5997.35,1,1,8
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823744,4073.41,0.676521,1,8
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0144051,2329.34,0.399769,1,8
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822144,4081.33,0.677876,1,8
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.008328,4029.11,0.691719,1,8
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00827968,4052.62,0.69707,1,8
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822688,4078.63,0.685908,1,8
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823584,4074.2,0.697789,1,8
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.0055792,6014.2,1,1,9
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00821376,4085.15,0.679367,1,9
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0143926,2331.36,0.390066,1,9
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821376,4085.15,0.680536,1,9
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822144,4081.33,0.687335,1,9
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00824512,4069.61,0.679849,1,9
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00825024,4067.09,0.675045,1,9
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00831008,4037.8,0.676345,1,9
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00564096,5948.35,1,1,10
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824576,4069.29,0.681659,1,10
tc0,tc0 CUDA WMMA Tensor Core baseline,256,fp16->fp32,cuBLAS Tensor Core,0.0144086,2328.77,0.403558,1,10
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822304,4080.54,0.679145,1,10
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822464,4079.74,0.683254,1,10
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.0083056,4039.98,0.677211,1,10
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824608,4069.14,0.673755,1,10
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822432,4079.9,0.69472,1,10
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.0058112,46192.8,1,1,1
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00834528,32166.1,0.683193,1,1
tc0,tc0 CUDA WMMA Tensor Core baseline,512,fp16->fp32,cuBLAS Tensor Core,0.0948077,2831.37,0.0629384,1,1
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0124048,21639.6,0.461421,1,1
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123907,21664.2,0.544072,1,1
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0102746,26126.2,0.5574,1,1
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102832,26104.3,0.563716,1,1
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102902,26086.4,0.555307,1,1
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00606048,44292.8,1,1,2
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0083504,32146.4,0.686338,1,2
tc0,tc0 CUDA WMMA Tensor Core baseline,512,fp16->fp32,cuBLAS Tensor Core,0.0949978,2825.7,0.0603197,1,2
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.012351,21733.8,0.461253,1,2
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123242,21781.2,0.460026,1,2
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0103456,25946.8,0.554593,1,2
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102848,26100.2,0.560485,1,2
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0103507,25934,0.573209,1,2
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00575936,46608.6,1,1,3
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0082672,32469.9,0.712483,1,3
tc0,tc0 CUDA WMMA Tensor Core baseline,512,fp16->fp32,cuBLAS Tensor Core,0.0944624,2841.72,0.0610444,1,3
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123254,21779,0.460913,1,3
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123162,21795.4,0.46786,1,3
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.010287,26094.5,0.560488,1,3
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102608,26161.3,0.556931,1,3
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102755,26123.8,0.553673,1,3
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00577344,46494.9,1,1,4
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0082976,32351,0.691631,1,4
tc0,tc0 CUDA WMMA Tensor Core baseline,512,fp16->fp32,cuBLAS Tensor Core,0.0943875,2843.97,0.0604148,1,4
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123309,21769.4,0.455831,1,4
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123578,21722,0.735719,1,4
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,512,fp16->fp32,cuBLAS Tensor Core,0.0102934,26078.3,0.55302,1,4
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.0102739,26127.9,0.554071,1,4
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.010272,26132.7,0.557259,1,4
cublas_tc,cuBLAS Tensor Core,512,fp16->fp32,cuBLAS Tensor Core,0.00570944,47016.1,1,1,5
cutlass,CUTLASS official Blackwell auto-schedule GEMM,512,fp16->fp32,cuBLAS Tensor Core,0.00824352,32563.2,0.709445,1,5
tc0,tc0 CUDA WMMA Tensor Core baseline,512,fp16->fp32,cuBLAS Tensor Core,0.0951206,2822.05,0.0719524,1,5
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,512,fp16->fp32,cuBLAS Tensor Core,0.0123232,21782.9,0.470527,1,5
