Precision,Stage,BackendId,BackendLabel,N,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Status,Reason,Trial
FP8,q5,fp8_q5_mma_m16n8k32_smem64,FP8 q5 warp MMA M16N8K32 shared 64x64 tile,1024,cuBLASLt FP8 E4M3,0.415267,5171.33,0.0384215,1,ok,,6
FP8,q6,fp8_q6_mma_m16n8k32_smem64x128,FP8 q6 warp MMA M16N8K32 shared 64x128 tile,1024,cuBLASLt FP8 E4M3,0.528874,4060.49,0.0303982,1,ok,,6
FP8,q7,fp8_q7_mma_m16n8k32_smem128x64,FP8 q7 warp MMA M16N8K32 shared 128x64 tile,1024,cuBLASLt FP8 E4M3,0.403261,5325.3,0.0400575,1,ok,,6
FP8,q8,fp8_q8_cublaslt_matmul,FP8 q8 cuBLASLt matmul backend,1024,cuBLASLt FP8 E4M3,0.0157696,136179,1.01542,1,ok,,6
INT8,q0,int8_q0_cuda_naive,INT8 q0 naive CUDA baseline,1024,cuBLAS INT8,3.68942,582.065,0.00470621,1,ok,,6
INT8,q1,int8_q1_cuda_vec4cols,INT8 q1 register-tiled four-column CUDA baseline,1024,cuBLAS INT8,2.33204,920.859,0.00751821,1,ok,,6
INT8,q2,int8_q2_cuda_vec8cols,INT8 q2 register-tiled eight-column CUDA baseline,1024,cuBLAS INT8,1.80636,1188.85,0.00958925,1,ok,,6
INT8,q3,int8_q3_cuda_vec16cols,INT8 q3 register-tiled sixteen-column CUDA baseline,1024,cuBLAS INT8,1.77724,1208.33,0.0100381,1,ok,,6
INT8,q4,int8_q4_wmma_m16n16k16,INT8 q4 WMMA M16N16K16 Tensor Core baseline,1024,cuBLAS INT8,0.418794,5127.79,0.0422241,1,ok,,6
INT8,q5,int8_q5_wmma_m16n16k16_8warp,INT8 q5 WMMA M16N16K16 8-warps-per-block baseline,1024,cuBLAS INT8,0.432845,4961.33,0.0406021,1,ok,,6
INT8,q6,int8_q6_wmma_m32n8k16,INT8 q6 WMMA M32N8K16 Tensor Core baseline,1024,cuBLAS INT8,0.416624,5154.49,0.0418219,1,ok,,6
INT8,q7,int8_q7_wmma_m8n32k16,INT8 q7 WMMA M8N32K16 Tensor Core baseline,1024,cuBLAS INT8,0.625808,3431.54,0.0282208,1,ok,,6
INT8,q8,int8_q8_wmma_m32n64k16_smem,INT8 q8 WMMA M32N64K16 shared-memory staged baseline,1024,cuBLAS INT8,0.439558,4885.55,0.0394942,1,ok,,6
INT8,q9,int8_q9_wmma_m32n32k16_reuse_a,INT8 q9 WMMA M32N32K16 reuse-A baseline,1024,cuBLAS INT8,0.23439,9162,0.0743648,1,ok,,6
INT8,q10,int8_q10_wmma_m32n64k16_reuse_a,INT8 q10 WMMA M32N64K16 reuse-A baseline,1024,cuBLAS INT8,0.21289,10087.3,0.0805676,1,ok,,6
INT8,q11,int8_q11_wmma_m32n128k16_reuse_a,INT8 q11 WMMA M32N128K16 reuse-A pressure test,1024,cuBLAS INT8,0.239632,8961.59,0.0724311,1,ok,,6
INT8,q12,int8_q12_wmma_m128n64k16_4warp_reuse_a,INT8 q12 WMMA M128N64K16 4-warp reuse-A CTA,1024,cuBLAS INT8,0.19727,10886,0.0889257,1,ok,,6
INT8,q13,int8_q13_wmma_m128n128k16_8warp_reuse_a,INT8 q13 WMMA M128N128K16 8-warp reuse-A CTA,1024,cuBLAS INT8,0.226746,9470.89,0.0771967,1,ok,,6
INT8,q14,int8_q14_wmma_m256n64k16_8warp_reuse_a,INT8 q14 WMMA M256N64K16 8-warp reuse-A CTA,1024,cuBLAS INT8,0.227962,9420.37,0.0751425,1,ok,,6
INT8,q15,int8_q15_wmma_m128n64k16_4warp_reuse_a_bcol,INT8 q15 WMMA M128N64K16 4-warp reuse-A B-col layout,1024,cuBLAS INT8,0.126096,17030.5,0.138409,1,ok,,6
INT8,q16,int8_q16_wmma_m128n128k16_8warp_reuse_a_bcol,INT8 q16 WMMA M128N128K16 8-warp reuse-A B-col layout,1024,cuBLAS INT8,0.136442,15739.2,0.126812,1,ok,,6
INT8,q17,int8_q17_wmma_m256n64k16_8warp_reuse_a_bcol,INT8 q17 WMMA M256N64K16 8-warp reuse-A B-col layout,1024,cuBLAS INT8,0.136499,15732.6,0.129618,1,ok,,6
INT8,q18,int8_q18_mma_m16n8k32_smem64,INT8 q18 inline MMA M16N8K32 shared 64x64 tile,1024,cuBLAS INT8,0.397219,5406.29,0.044743,1,ok,,6
INT8,q19,int8_q19_cublas_gemmex,INT8 q19 cuBLAS GemmEx backend,1024,cuBLAS INT8,0.0185792,115585,0.953324,1,ok,,6
NVFP4,q0,nvfp4_q0_tc6_fused_epilogue,reuse GEMMsm110 tc6 fused NVFP4 epilogue,1024,cuBLAS Tensor Core quantized,0.0758829,28300,0.275131,1,ok,,7
NVFP4,q1,nvfp4_q1_native_fp4_mainloop,planned native FP4/NVFP4 mainloop,1024,cuBLAS/cuBLASLt precision reference,,,,0,missing,planned: replace FP16 mainloop + requant with native FP4/NVFP4 path,7
NVFP4,q2,nvfp4_q2_cutlass_72b_nvfp4,CUTLASS 72b block-scaled NVFP4 Tensor Core,1024,cuBLAS Tensor Core fp16->fp32,0.0166554,128936,1.25099,1,ok,,7
MXFP4,q0,mxfp4_q0_cutlass_72a_mxfp4_bf16,CUTLASS 72a MXFP4 BF16 default swizzle,1024,cuBLAS Tensor Core fp16->fp32,0.0174454,123097,1.19437,1,ok,,7
