phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
calibration,v2_calibration_bf16_n256_q16_batch_same_in1_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,500,0,10,batch,same,same,discard,1,10000000,1,1,none,0,1215146.0,,,,,151.89325,0.867424,,,,,10.872814953923232,9.670712362120486,500,0.000000000,1,24ef8628f65a2805e9617a253a32385fe0d5e1cf791abb68c45531c030c041d0,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q16_batch_same_in1_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,500,1,10,batch,same,same,discard,1,10000000,1,1,none,0,1215146.0,,,,,151.89325,0.869888,,,,,10.872814953923232,9.643319599764569,500,0.000000000,1,24ef8628f65a2805e9617a253a32385fe0d5e1cf791abb68c45531c030c041d0,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q16_batch_same_in1_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,500,2,10,batch,same,same,discard,1,10000000,1,1,none,0,1215146.0,,,,,151.89325,0.868064,,,,,10.872814953923232,9.663582408670328,500,0.000000000,1,24ef8628f65a2805e9617a253a32385fe0d5e1cf791abb68c45531c030c041d0,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q1_batch_ring_in0_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,1,500,0,11,batch,ring,same,discard,0,32,1,1,none,0,215643.0,,,,,431.286,0.235104,,,,,1.9146311264450966,1.1150129304478018,500,0.000000000,1,ca30d9cb7651db5650e1a3a45c718979ab7970b1eb21c2db883dac900e0ab89f,1,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q1_batch_ring_in0_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,1,500,1,11,batch,ring,same,discard,0,32,1,1,none,0,215644.0,,,,,431.288,0.234944,,,,,1.9146222477787462,1.115772269136475,500,0.000000000,1,ca30d9cb7651db5650e1a3a45c718979ab7970b1eb21c2db883dac900e0ab89f,1,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q1_batch_ring_in0_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,1,500,2,11,batch,ring,same,discard,0,32,1,1,none,0,215644.0,,,,,431.288,0.234752,,,,,1.9146222477787462,1.1166848418756816,500,0.000000000,1,ca30d9cb7651db5650e1a3a45c718979ab7970b1eb21c2db883dac900e0ab89f,1,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q2_batch_same_in0_same_discard_h32_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,2,500,0,12,batch,same,same,discard,0,32,0,20,none,0,237652.0,,,,,237.652,0.281344,,,,,69.4926699543871,37.270245677888994,10000,0.000000000,1,56337dde396bd0cd9b7fa182d495ecef09c3aad461b22c22baa4121586157ca9,2,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q2_batch_same_in0_same_discard_h32_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,2,500,1,12,batch,same,same,discard,0,32,0,20,none,0,237654.0,,,,,237.654,0.28144,,,,,69.49208513216693,37.257532689027855,10000,0.000000000,1,56337dde396bd0cd9b7fa182d495ecef09c3aad461b22c22baa4121586157ca9,2,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q2_batch_same_in0_same_discard_h32_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,2,500,2,12,batch,same,same,discard,0,32,0,20,none,0,237651.0,,,,,237.651,0.28144,,,,,69.49296236918843,37.257532689027855,10000,0.000000000,1,56337dde396bd0cd9b7fa182d495ecef09c3aad461b22c22baa4121586157ca9,2,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q8_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,8,500,0,13,batch,same,same,discard,0,0,0,20,none,0,408306.0,,,,,102.0765,0.388384,,,,,161.79112724280319,107.99373815605173,10000,0.000000000,1,6baec20952414bc272bb0ed187835288c34114d6208d844f938550b61e7bc49a,8,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q8_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,8,500,1,13,batch,same,same,discard,0,0,0,20,none,0,408315.0,,,,,102.07875,0.390272,,,,,161.7875610741707,107.47130206625124,10000,0.000000000,1,6baec20952414bc272bb0ed187835288c34114d6208d844f938550b61e7bc49a,8,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q8_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,8,500,2,13,batch,same,same,discard,0,0,0,20,none,0,408366.0,,,,,102.0915,0.385664,,,,,161.7673557543968,108.75539329571855,10000,0.000000000,1,6baec20952414bc272bb0ed187835288c34114d6208d844f938550b61e7bc49a,8,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
control,v2_control_fp16_n128_q64_empty_same_in0_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,64,1000,0,14,empty,same,same,discard,0,10000000,1,1,none,0,264107.0,,,,,,0.264672,,,,,,,0,0.000000000,1,8be76282936f7eb26d02e082859a948d3ab53ba6ec77c4b1ddb5f11c39e17bd1,0,2,16,9,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
control,v2_control_fp16_n128_q64_empty_same_in0_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,64,1000,1,14,empty,same,same,discard,0,10000000,1,1,none,0,264107.0,,,,,,0.264896,,,,,,,0,0.000000000,1,8be76282936f7eb26d02e082859a948d3ab53ba6ec77c4b1ddb5f11c39e17bd1,0,2,16,9,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
control,v2_control_fp16_n128_q64_empty_same_in0_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,64,1000,2,14,empty,same,same,discard,0,10000000,1,1,none,0,264107.0,,,,,,0.264608,,,,,,,0,0.000000000,1,8be76282936f7eb26d02e082859a948d3ab53ba6ec77c4b1ddb5f11c39e17bd1,0,2,16,9,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
